edge_count,pentagons,triangles,squares,circles,halfcircles,blob_count,color_count,class
204,1,0,9,3,18,9,2,Surreal-Surrealism
249,2,3,37,5,53,5,5,Expressionism
1363,37,44,828,58,331,173,2,ORPHISM
34,0,0,2,1,1,0,2,Colour-Field-Painting
3206,162,87,4484,233,1154,277,1,Cubism
672,37,27,804,41,199,169,1,ActionPainting
235,6,2,89,2,8,0,1,Op-Art
1340,32,20,785,44,297,117,2,Surreal-Surrealism
5080,238,314,3682,280,1750,1144,1,ActionPainting
211,0,2,22,5,20,4,4,Cubism
595,34,37,184,38,154,87,1,Expressionism
193,4,3,63,5,52,20,2,Expressionism
4159,351,500,5448,322,1797,1012,2,Cubism
456,0,0,85,0,0,4,1,Op-Art
1023,20,35,1339,31,153,91,2,Post-impressionism
140,0,0,36,0,1,1,1,Hard-Edge-Art
71,1,0,20,0,0,1,2,Hard-Edge-Art
1323,55,65,2412,87,386,163,3,Cubism
29,2,1,15,0,11,26,3,Colour-Field-Painting
560,13,18,223,17,134,20,3,Expressionism
867,64,95,836,60,282,179,1,Expressionism
173,12,15,222,15,70,44,1,Colour-Field-Painting
129,0,0,0,2,2,5,1,Minimalism-Art
300,14,7,95,9,51,59,2,ActionPainting
211,14,26,142,15,57,53,3,Colour-Field-Painting
212,10,8,281,7,39,39,2,ActionPainting
131,4,2,60,7,14,7,2,Colour-Field-Painting
283,1,0,32,0,15,4,4,ORPHISM
301,10,4,148,11,149,16,1,ORPHISM
1596,4,3,219,18,185,32,3,Op-Art
423,0,0,20,2,4,4,2,Colour-Field-Painting
99,1,0,11,0,4,2,1,Colour-Field-Painting
1690,56,69,1750,67,508,139,2,Cubism
54,0,0,0,0,0,4,4,Hard-Edge-Art
152,6,6,130,12,51,11,4,ORPHISM
410,7,10,62,12,52,49,3,Hard-Edge-Art
1238,55,69,635,85,389,292,3,ActionPainting
292,1,3,46,2,38,11,2,Surreal-Surrealism
2314,91,76,3757,149,954,282,1,Surreal-Surrealism
536,9,4,36,17,89,44,1,Surreal-Surrealism
256,5,6,148,12,59,24,2,Surreal-Surrealism
133,41,55,343,17,127,94,3,Colour-Field-Painting
2128,84,137,2807,118,729,398,3,Expressionism
107,3,1,68,1,23,9,2,Cubism
246,10,28,69,11,43,86,1,Colour-Field-Painting
166,0,0,0,2,3,0,1,Minimalism-Art
264,15,17,169,14,63,50,2,Post-impressionism
67,1,0,1,0,24,4,1,Minimalism-Art
58,2,1,32,3,27,14,1,ActionPainting
135,1,0,8,0,0,6,2,Hard-Edge-Art
77,0,0,0,0,3,2,4,Colour-Field-Painting
1059,12,18,499,33,195,28,2,Cubism
204,7,16,72,6,61,34,1,Surreal-Surrealism
1664,64,78,2396,92,486,219,5,Expressionism
165,4,2,117,5,52,5,2,Cubism
58,12,4,83,11,35,10,3,Colour-Field-Painting
307,5,2,80,7,34,6,2,ActionPainting
116,0,0,1,0,0,3,1,ActionPainting
474,9,24,605,19,123,15,1,Expressionism
18,0,0,8,1,1,0,2,Colour-Field-Painting
271,1,3,71,5,38,9,2,Surreal-Surrealism
1098,36,47,318,33,257,290,2,Post-impressionism
481,19,29,235,27,95,66,2,Expressionism
1875,151,297,4031,169,889,551,2,Expressionism
185,0,0,35,2,11,0,2,Hard-Edge-Art
467,2,5,52,6,64,25,1,Cubism
